title,clean_title,original_title,genres,director,release_year,runtime,budget,revenue,popularity,tmdb_rating,tmdb_votes,imdb_rating,imdb_votes,language,tmdb_id,imdb_id,doesthedog_id
Bad Boys for Life,bad boys for life,Bad Boys for Life,"thriller, action, crime","Bilall Fallah, Adil El Arbi",2020,124,90000000,426505244,67.7,7.1,8251,6.5,186716,English,38700,tt1502397,
Avatar: The Way of Water,avatar the way of water,Avatar: The Way of Water,"science fiction, adventure, action",James Cameron,2022,192,460000000,2320250281,158.5,7.6,11946,7.5,518001,English,76600,tt1630029,
Pet Sematary,pet sematary,Pet Sematary,"horror, thriller","Dennis Widmyer, Kevin Kölsch",2019,100,21000000,113118226,26.1,5.7,3186,5.7,100618,English,157433,tt0837563,
How to Train Your Dragon: The Hidden World,how to train your dragon the hidden world,How to Train Your Dragon: The Hidden World,"animation, family, adventure",Dean DeBlois,2019,104,129000000,524580592,207.5,7.8,6381,7.4,158269,English,166428,tt2386490,
Star Wars: The Rise of Skywalker,star wars the rise of skywalker,Star Wars: The Rise of Skywalker,"adventure, action, science fiction",J.J. Abrams,2019,142,416000000,1074144248,63.2,6.3,9886,6.4,507321,English,181812,tt2527338,
The King's Daughter,the kings daughter,The King's Daughter,"fantasy, adventure, family",Sean McNamara,2022,94,40500000,2200000,30.1,7.1,676,5.2,6505,English,245842,tt2328678,
The Canterville Ghost,the canterville ghost,The Canterville Ghost,"animation, comedy, family, fantasy",Kim Burdon,2023,89,10000000,2000000,69.0,6.6,21,6.0,1422,English,269509,tt2403439,
The Lego Movie 2: The Second Part,the lego movie 2 the second part,The Lego Movie 2: The Second Part,"action, adventure, animation, comedy, family",Mike Mitchell,2019,107,99000000,199603202,52.1,6.7,2183,6.5,79382,English,280217,tt3513498,
Evangelion: 3.0+1.0 Thrice Upon a Time,evangelion 3010 thrice upon a time,シン・エヴァンゲリオン劇場版:||,"animation, action, science fiction, drama","Hideaki Anno, Katsuichi Nakayama, Mahiro Maeda, Kazuya Tsurumaki",2021,155,29700000,93882453,27.4,8.2,812,8.0,15300,Japanese,283566,tt2458948,
Shazam!,shazam,Shazam!,"action, comedy, fantasy",David F. Sandberg,2019,132,80000000,367799011,42.5,7.0,9445,7.0,394066,English,287947,tt0448115,
Terminator: Dark Fate,terminator dark fate,Terminator: Dark Fate,"science fiction, action, adventure",Tim Miller,2019,128,185000000,261119292,39.9,6.4,5079,6.2,198409,English,290859,tt6450804,
The Death & Life of John F. Donovan,the death  life of john f donovan,The Death & Life of John F. Donovan,drama,Xavier Dolan,2019,123,35000000,3326364,9.4,6.9,688,6.1,7922,English,291984,tt4042818,
Richard Jewell,richard jewell,Richard Jewell,drama,Clint Eastwood,2019,131,45000000,33900000,18.2,7.4,2485,7.5,100738,English,292011,tt3513548,
The Flash,the flash,The Flash,"adventure, action, science fiction",Andy Muschietti,2023,144,220000000,271333313,87.8,6.7,4265,6.6,224488,English,298618,tt0439572,
Expend4bles,expend4bles,Expend4bles,"action, adventure, thriller",Scott Waugh,2023,103,100000000,37917985,175.0,6.2,1536,4.8,46651,English,299054,tt3291150,
Avengers: Endgame,avengers endgame,Avengers: Endgame,"adventure, science fiction, action","Anthony Russo, Joe Russo",2019,181,356000000,2799439100,124.2,8.2,25662,8.4,1315965,English,299534,tt4154796,
Captain Marvel,captain marvel,Captain Marvel,"action, adventure, science fiction","Ryan Fleck, Anna Boden",2019,124,152000000,1131416446,43.5,6.8,15671,6.8,625546,English,299537,tt4154664,
Toy Story 4,toy story 4,Toy Story 4,"family, adventure, animation, comedy, fantasy",Josh Cooley,2019,100,175000000,1073841394,95.7,7.5,9734,7.6,290469,English,301528,tt1979376,
Iron Sky: The Coming Race,iron sky the coming race,Iron Sky: The Coming Race,"action, comedy, fantasy, science fiction",Timo Vuorensola,2019,93,21000000,400900,14.7,5.1,396,5.0,12055,English,302349,tt3038708,
Puss in Boots: The Last Wish,puss in boots the last wish,Puss in Boots: The Last Wish,"animation, adventure, fantasy, comedy, family",Joel Crawford,2022,103,90000000,484700000,152.6,8.2,7779,7.8,191841,English,315162,tt3915174,
Dark Phoenix,dark phoenix,Dark Phoenix,"science fiction, action, adventure",Simon Kinberg,2019,114,200000000,252442974,44.6,6.0,6503,5.7,213842,English,320288,tt6565702,
Dumbo,dumbo,Dumbo,"family, fantasy, adventure",Tim Burton,2019,112,170000000,353284621,32.5,6.6,4301,6.3,84354,English,329996,tt3861390,
Frozen II,frozen ii,Frozen II,"family, animation, adventure, comedy, fantasy","Chris Buck, Jennifer Lee",2019,103,150000000,1453683476,87.2,7.3,9701,6.8,201916,English,330457,tt4520988,
Little Women,little women,Little Women,"drama, romance, history",Greta Gerwig,2019,135,40000000,216600000,38.7,7.9,6253,7.8,257724,English,331482,tt3281548,
Uncharted,uncharted,Uncharted,"action, adventure",Ruben Fleischer,2022,116,120000000,407141258,51.7,6.9,5958,6.3,272085,English,335787,tt1464335,
Indiana Jones and the Dial of Destiny,indiana jones and the dial of destiny,Indiana Jones and the Dial of Destiny,"adventure, action",James Mangold,2023,155,294700000,383963057,82.0,6.6,3383,6.5,212086,English,335977,tt1462764,
Mulan,mulan,Mulan,"adventure, fantasy, action, family",Niki Caro,2020,115,200000000,69965374,60.4,6.9,6619,5.8,161749,English,337401,tt4566758,
Cruella,cruella,Cruella,"comedy, crime, family, adventure",Craig Gillespie,2021,134,200000000,233503234,80.3,8.0,9310,7.3,274939,English,337404,tt3228774,
Bloodshot,bloodshot,Bloodshot,"action, science fiction, adventure",Dave Wilson,2020,110,42000000,39861118,26.6,6.7,4925,5.7,86988,English,338762,tt1634106,
Fantastic Beasts: The Secrets of Dumbledore,fantastic beasts the secrets of dumbledore,Fantastic Beasts: The Secrets of Dumbledore,"fantasy, adventure",David Yates,2022,142,200000000,407200000,67.3,6.7,4463,6.2,178751,English,338953,tt4123432,
Zombieland: Double Tap,zombieland double tap,Zombieland: Double Tap,"comedy, horror",Ruben Fleischer,2019,99,42000000,122800000,35.9,6.9,5668,6.7,210798,English,338967,tt1560220,
The New Mutants,the new mutants,The New Mutants,"science fiction, horror, action",Josh Boone,2020,94,67000000,49169594,29.5,6.1,3407,5.3,93932,English,340102,tt4682266,
Barbie,barbie,Barbie,"comedy, adventure",Greta Gerwig,2023,114,145000000,1445638421,236.2,7.0,9209,6.8,578242,English,346698,tt1517268,
About Endlessness,about endlessness,Om det oändliga,"drama, fantasy",Roy Andersson,2019,78,4700000,434977,7.3,6.5,177,6.8,8102,Swedish,348672,tt6817944,
Ford v Ferrari,ford v ferrari,Ford v Ferrari,"drama, action, history",James Mangold,2019,153,97600000,225508210,62.7,8.0,7937,8.1,503615,English,359724,tt1950186,
Top Gun: Maverick,top gun maverick,Top Gun: Maverick,"action, drama",Joseph Kosinski,2022,131,170000000,1488732821,209.2,8.2,9249,8.2,744095,English,361743,tt1745960,
Borderlands,borderlands,Borderlands,"action, science fiction, comedy",Eli Roth,2024,101,115000000,32978510,362.1,5.8,849,4.6,34895,English,365177,tt4978420,
Ferrari,ferrari,Ferrari,"history, drama",Michael Mann,2023,131,95000000,39220516,92.6,6.4,955,6.4,58572,English,365620,tt3758542,
Playmobil: The Movie,playmobil the movie,Playmobil: The Movie,"family, animation, comedy, adventure",Lino DiSalvo,2019,99,75000000,1630000,33.2,5.6,276,4.9,4851,English,366668,tt4199898,
Paws of Fury: The Legend of Hank,paws of fury the legend of hank,Paws of Fury: The Legend of Hank,"animation, adventure, comedy, family","Chris Bailey, Rob Minkoff, Mark Koetsier",2022,94,45000000,42500000,34.8,6.7,295,5.7,6942,English,366672,tt4428398,
No Time to Die,no time to die,No Time to Die,"action, thriller, adventure",Cary Joji Fukunaga,2021,163,250000000,774153024,72.9,7.4,6253,7.3,457418,English,370172,tt2382320,
Godzilla: King of the Monsters,godzilla king of the monsters,Godzilla: King of the Monsters,"science fiction, action",Michael Dougherty,2019,132,170000000,387300138,48.3,6.7,6151,6.0,215454,English,373571,tt3741700,
Space Jam: A New Legacy,space jam a new legacy,Space Jam: A New Legacy,"family, animation, comedy, science fiction",Malcolm D. Lee,2021,115,150000000,163692228,41.9,6.7,4002,4.5,82529,English,379686,tt3554046,
Fast & Furious Presents: Hobbs & Shaw,fast  furious presents hobbs  shaw,Fast & Furious Presents: Hobbs & Shaw,"action, adventure, comedy",David Leitch,2019,137,200000000,760098996,90.0,6.9,7173,6.5,243269,English,384018,tt6806448,
Scoob!,scoob,Scoob!,"animation, comedy, family, mystery",Tony Cervone,2020,93,90000000,28600000,33.3,7.1,1686,5.6,30911,English,385103,tt3152592,
F9,f9,F9,"action, adventure, crime",Justin Lin,2021,143,200000000,726229501,52.3,7.1,7190,5.2,167589,English,385128,tt5433138,
Fast X,fast x,Fast X,"action, crime, thriller",Louis Leterrier,2023,142,340000000,704709660,232.9,7.1,5585,5.7,128032,English,385687,tt5433140,
The Irishman,the irishman,The Irishman,"crime, drama, history",Martin Scorsese,2019,209,159000000,968853,36.6,7.6,6780,7.8,443392,English,398978,tt1302006,
An Officer and a Spy,an officer and a spy,J'accuse,"history, drama, thriller",Roman Polanski,2019,132,25300000,18878646,15.2,7.1,1484,7.2,21721,French,399121,tt2398149,
Godzilla vs. Kong,godzilla vs kong,Godzilla vs. Kong,"action, science fiction, adventure",Adam Wingard,2021,114,200000000,470116094,45.8,7.6,9960,6.3,251898,English,399566,tt5034838,
Alita: Battle Angel,alita battle angel,Alita: Battle Angel,"action, science fiction, adventure",Robert Rodriguez,2019,122,170000000,405000000,69.0,7.2,9128,7.3,304927,English,399579,tt0437086,
Wonder Park,wonder park,Wonder Park,"comedy, animation, adventure, family, fantasy",Dylan Brown,2019,86,100000000,119559110,16.9,6.5,694,5.9,12945,English,400157,tt6428676,
The SpongeBob Movie: Sponge on the Run,the spongebob movie sponge on the run,The SpongeBob Movie: Sponge on the Run,"family, animation, fantasy, adventure, comedy",Tim Hill,2020,95,60000000,4700000,56.6,7.5,2835,5.9,22945,English,400160,tt4823776,
Wicked,wicked,Wicked,"drama, romance, fantasy",Jon M. Chu,2024,160,150000000,455551000,1084.8,7.6,486,8.1,53383,English,402431,tt1262426,
A Hidden Life,a hidden life,A Hidden Life,"history, drama, war",Terrence Malick,2019,173,9000000,4645140,17.2,7.1,682,7.4,29464,English,403300,tt5827916,
Moonfall,moonfall,Moonfall,"science fiction, adventure, action",Roland Emmerich,2022,131,146000000,67319703,56.9,6.3,3092,5.1,103797,English,406759,tt5834426,
The Professor and the Madman,the professor and the madman,The Professor and the Madman,"history, drama, mystery, thriller",Farhad Safinia,2019,124,25000000,4957273,10.1,7.1,1154,7.2,52161,English,411728,tt5932728,
The Secret Life of Pets 2,the secret life of pets 2,The Secret Life of Pets 2,"adventure, animation, comedy, family",Chris Renaud,2019,86,80000000,429434163,41.1,7.0,3033,6.4,71207,English,412117,tt5113040,
Chaos Walking,chaos walking,Chaos Walking,"fantasy, science fiction, adventure",Doug Liman,2021,109,125000000,26508132,25.3,6.6,2269,5.7,58071,English,412656,tt2076822,
Pinocchio,pinocchio,Pinocchio,"drama, family, fantasy",Matteo Garrone,2019,124,12400000,17133446,23.6,6.6,1489,6.3,15077,Italian,413518,tt8333746,
The Batman,the batman,The Batman,"crime, mystery, thriller",Matt Reeves,2022,177,185000000,771000000,137.1,7.7,10353,7.8,842941,English,414906,tt1877830,
Hotel Mumbai,hotel mumbai,Hotel Mumbai,"thriller, history, drama, action",Anthony Maras,2019,123,25000000,16900000,19.7,7.5,1543,7.6,73940,English,416144,tt5461944,
Scary Stories to Tell in the Dark,scary stories to tell in the dark,Scary Stories to Tell in the Dark,"horror, thriller",André Øvredal,2019,108,25000000,104500000,23.3,6.5,2632,6.2,88148,English,417384,tt3387520,
Monos,monos,Monos,"drama, adventure",Alejandro Landes,2019,103,1800000,1929915,19.5,6.7,379,6.8,19285,Spanish,417466,tt6062774,
Ad Astra,ad astra,Ad Astra,"science fiction, drama",James Gray,2019,123,87500000,127461872,12.4,6.1,6572,6.5,266184,English,419704,tt2935510,
Maleficent: Mistress of Evil,maleficent mistress of evil,Maleficent: Mistress of Evil,"family, fantasy, adventure, action",Joachim Rønning,2019,119,185000000,491730089,80.7,7.3,6083,6.6,122750,English,420809,tt4777008,
Aladdin,aladdin,Aladdin,"adventure, fantasy, romance, family",Guy Ritchie,2019,127,183000000,1054300000,55.7,7.1,10015,6.9,297307,English,420817,tt6139732,
The Lion King,the lion king,The Lion King,"animation, adventure, drama, family",Jon Favreau,2019,118,260000000,1663000000,160.1,7.1,9994,6.8,273691,English,420818,tt6105098,
Chip 'n Dale: Rescue Rangers,chip n dale rescue rangers,Chip 'n Dale: Rescue Rangers,"animation, family, comedy, adventure, mystery",Akiva Schaffer,2022,99,70000000,623190,29.4,7.0,1210,6.9,48250,English,420821,tt3513500,
The Conjuring: The Devil Made Me Do It,the conjuring the devil made me do it,The Conjuring: The Devil Made Me Do It,"horror, mystery, thriller",Michael Chaves,2021,111,39000000,206431050,76.8,7.4,5906,6.3,146524,English,423108,tt7069210,
Angel Has Fallen,angel has fallen,Angel Has Fallen,"action, thriller",Ric Roman Waugh,2019,122,40000000,146661977,55.7,6.6,3467,6.4,114202,English,423204,tt6189022,
Annette,annette,Annette,"drama, romance",Leos Carax,2021,140,15500000,3700000,12.6,6.7,670,6.3,23318,French,424277,tt6217926,
The War with Grandpa,the war with grandpa,The War with Grandpa,"comedy, family",Tim Hill,2020,98,18000000,43387445,49.8,6.4,943,5.7,25677,English,425001,tt4532038,
Ghostbusters: Afterlife,ghostbusters afterlife,Ghostbusters: Afterlife,"fantasy, comedy, adventure, science fiction",Jason Reitman,2021,124,75000000,204334455,50.2,7.4,4598,7.0,229163,English,425909,tt4513678,
Iron Mask,iron mask,Тайна печати Дракона,"action, adventure, family, fantasy",Oleg Stepchenko,2019,121,49000000,8685794,25.0,6.2,454,4.7,9031,Russian,428045,tt6218010,
Ophelia,ophelia,Ophelia,"drama, romance, history",Claire McCarthy,2019,114,12000000,242115,14.5,7.1,557,6.5,13849,English,428836,tt5690810,
The Jesus Rolls,the jesus rolls,The Jesus Rolls,"comedy, crime, drama",John Turturro,2019,85,4500000,64648,15.3,4.5,139,4.4,5603,English,429416,tt5974030,
Capone,capone,Capone,"crime, drama",Josh Trank,2020,103,20600000,858281,9.7,5.0,369,4.7,23803,English,429422,tt6199572,
Captive State,captive state,Captive State,"science fiction, action, adventure, thriller",Rupert Wyatt,2019,110,25000000,8808611,10.6,5.6,1149,6.0,59122,English,429471,tt5968394,
Spider-Man: Far From Home,spiderman far from home,Spider-Man: Far From Home,"action, adventure, science fiction",Jon Watts,2019,129,160000000,1131927996,90.8,7.4,15642,7.4,579505,English,429617,tt6320628,
Coma,coma,Кома,"science fiction, adventure, action",Nikita Argunov,2020,110,2250000,9500000,27.5,6.4,536,6.3,12101,Russian,430155,tt6087226,
Abominable,abominable,Abominable,"family, animation, adventure, comedy",Jill Culton,2019,97,75000000,190304772,26.2,7.5,2024,7.0,43862,English,431580,tt6324278,
Spies in Disguise,spies in disguise,Spies in Disguise,"animation, action, adventure, comedy, family","Nick Bruno, Troy Quane",2019,102,100000000,171616764,24.7,7.6,2786,6.8,58880,English,431693,tt5814534,
Possessor,possessor,Possessor,"horror, thriller, science fiction",Brandon Cronenberg,2020,103,2500000,911000,17.4,6.4,859,6.5,48966,English,435615,tt5918982,
Black Adam,black adam,Black Adam,"action, adventure, science fiction",Jaume Collet-Serra,2022,125,200000000,393452111,69.1,6.9,6269,6.2,284838,English,436270,tt6443346,
The Suicide Squad,the suicide squad,The Suicide Squad,"action, comedy, adventure",James Gunn,2021,132,185000000,168717425,84.8,7.5,8615,7.2,423741,English,436969,tt6334354,
The First Omen,the first omen,The First Omen,horror,Arkasha Stevenson,2024,119,30000000,53845880,76.5,6.9,930,6.5,58533,English,437342,tt5672290,
Minions: The Rise of Gru,minions the rise of gru,Minions: The Rise of Gru,"animation, comedy, family, adventure",Kyle Balda,2022,87,85000000,940203765,82.4,7.3,3612,6.5,94555,English,438148,tt5113044,
Dune,dune,Dune,"science fiction, adventure",Denis Villeneuve,2021,155,165000000,407573628,148.5,7.8,12762,8.0,919434,English,438631,tt1160419,
Cold Pursuit,cold pursuit,Cold Pursuit,"action, crime, thriller, comedy",Hans Petter Moland,2019,119,60000000,76419755,54.1,5.8,2561,6.2,80315,English,438650,tt5719748,
Dragged Across Concrete,dragged across concrete,Dragged Across Concrete,"crime, action, thriller",S. Craig Zahler,2019,158,15000000,660132,33.8,6.6,973,6.9,57588,English,438674,tt6491178,
Sing 2,sing 2,Sing 2,"animation, family, music, comedy",Garth Jennings,2021,110,85000000,408402685,98.6,7.9,4381,7.3,92609,English,438695,tt6467266,
The Upside,the upside,The Upside,"comedy, drama",Neil Burger,2019,126,37500000,125000000,27.4,7.2,1266,7.0,65439,English,440472,tt1987680,
Jay and Silent Bob Reboot,jay and silent bob reboot,Jay and Silent Bob Reboot,comedy,Kevin Smith,2019,105,10000000,1011305,13.7,5.7,525,5.6,29042,English,440762,tt6521876,
Wolfwalkers,wolfwalkers,Wolfwalkers,"animation, family, adventure, fantasy","Ross Stewart, Tomm Moore",2020,103,12000000,1310720,21.6,8.2,1184,8.0,40385,English,441130,tt5198068,
The Beach Bum,the beach bum,The Beach Bum,comedy,Harmony Korine,2019,95,5000000,4600000,25.3,5.7,490,5.5,25499,English,441384,tt6511932,
The Last Full Measure,the last full measure,The Last Full Measure,"drama, action, war",Todd Robinson,2020,110,20000000,3364426,35.3,7.3,438,6.8,14523,English,442065,tt0783640,
Underwater,underwater,Underwater,"horror, science fiction, action, adventure",William Eubank,2020,95,50000000,40882928,32.6,6.3,3093,5.9,101134,English,443791,tt5774060,
Fighting with My Family,fighting with my family,Fighting with My Family,comedy,Stephen Merchant,2019,108,11000000,39055536,15.5,6.9,1693,7.0,89605,English,445629,tt6513120,
Bacurau,bacurau,Bacurau,"mystery, western, thriller","Kleber Mendonça Filho, Juliano Dornelles",2019,131,1430000,3554178,9.8,7.7,1043,7.3,31605,Portuguese,446159,tt2762506,
Trolls World Tour,trolls world tour,Trolls World Tour,"family, animation, comedy, fantasy, adventure, music",Walt Dohrn,2020,91,90000000,49276818,35.8,7.3,2127,6.1,30223,English,446893,tt6587640,
The Little Mermaid,the little mermaid,The Little Mermaid,"adventure, family, fantasy, romance",Rob Marshall,2023,135,297000000,569626289,139.8,6.3,2926,7.2,162140,English,447277,tt5971474,
Guardians of the Galaxy Vol. 3,guardians of the galaxy vol 3,Guardians of the Galaxy Vol. 3,"science fiction, adventure, action",James Gunn,2023,150,250000000,845600000,111.6,8.0,6884,7.9,407967,English,447365,tt6791350,
Pokémon Detective Pikachu,pokémon detective pikachu,Pokémon Detective Pikachu,"action, adventure, fantasy",Rob Letterman,2019,105,150000000,449762638,85.9,6.9,6807,6.5,187709,English,447404,tt5884052,
Dolittle,dolittle,Dolittle,"family, comedy, fantasy, adventure",Stephen Gaghan,2020,101,175000000,251410631,27.3,6.6,3621,5.6,73008,English,448119,tt6673612,
The Hustle,the hustle,The Hustle,"comedy, crime",Chris Addison,2019,94,21000000,97400000,26.6,6.2,2473,5.5,67304,English,449562,tt1298644,
Isn't It Romantic,isnt it romantic,Isn't It Romantic,"comedy, fantasy, romance",Todd Strauss-Schulson,2019,89,31000000,48800000,21.2,6.2,3447,5.9,74749,English,449563,tt2452244,
Ip Man 4: The Finale,ip man 4 the finale,葉問4,"action, drama, history",Wilson Yip,2019,107,52000000,239000000,18.9,7.3,1939,7.0,37961,Cantonese,449924,tt2076298,
The Invincible Dragon,the invincible dragon,九龍不敗,"action, crime, thriller, comedy",Fruit Chan,2019,98,2869666,12000000,9.5,4.6,25,4.2,1601,Chinese,449998,tt6329716,
Glass,glass,Glass,"thriller, drama, science fiction",M. Night Shyamalan,2019,129,20000000,247000000,34.7,6.7,8425,6.6,286156,English,450465,tt6823368,
Jungle Cruise,jungle cruise,Jungle Cruise,"fantasy, adventure",Jaume Collet-Serra,2021,127,200000000,220889446,62.7,7.4,5670,6.6,217834,English,451048,tt0870154,
Wasp Network,wasp network,Wasp Network,"drama, history, thriller",Olivier Assayas,2020,128,10530000,1400000,11.2,6.0,373,5.9,12207,English,451184,tt6760876,
Serenity,serenity,Serenity,"thriller, mystery, drama",Steven Knight,2019,102,25000000,14500000,20.7,5.4,1514,5.4,46657,English,452832,tt6476140,
Doctor Strange in the Multiverse of Madness,doctor strange in the multiverse of madness,Doctor Strange in the Multiverse of Madness,"fantasy, action, adventure",Sam Raimi,2022,126,200000000,955775804,107.1,7.3,9174,6.9,500032,English,453395,tt9419884,
Gemini Man,gemini man,Gemini Man,"science fiction, action, adventure, thriller",Ang Lee,2019,117,140000000,173469516,32.6,6.3,5092,5.7,125764,English,453405,tt1025100,
Saaho,saaho,సాహో,"action, adventure, thriller",Sujeeth,2019,171,51000000,55000000,13.6,5.8,91,5.1,24642,Telugu,454292,tt6836936,
The Kid Who Would Be King,the kid who would be king,The Kid Who Would Be King,"action, adventure, fantasy, family",Joe Cornish,2019,120,59000000,32140970,19.9,6.2,740,6.1,19251,English,454294,tt6811018,
UglyDolls,uglydolls,UglyDolls,"animation, music, family, comedy",Kelly Asbury,2019,88,45000000,32500000,29.0,6.6,432,5.1,8080,English,454458,tt1946502,
Benedetta,benedetta,Benedetta,"history, drama, romance",Paul Verhoeven,2021,131,24350000,2652725,21.4,6.6,985,6.7,26749,French,454527,tt6823148,
Sonic the Hedgehog,sonic the hedgehog,Sonic the Hedgehog,"action, science fiction, comedy, family",Jeff Fowler,2020,99,90000000,319715683,109.1,7.3,9498,6.5,167163,English,454626,tt3794354,
The Angry Birds Movie 2,the angry birds movie 2,The Angry Birds Movie 2,"animation, action, fantasy, adventure, comedy",Thurop Van Orman,2019,97,65000000,137792047,47.2,7.1,1698,6.4,37252,English,454640,tt6095472,
Knights of the Zodiac,knights of the zodiac,Knights of the Zodiac,"fantasy, action, adventure",Tomek Bagiński,2023,113,60000000,7000000,54.7,6.4,1131,4.4,15079,English,455476,tt6528290,
Domino,domino,Domino,"crime, thriller",Brian De Palma,2019,89,7800000,439085,14.1,4.6,272,4.5,6866,English,455957,tt3282076,
Hellboy,hellboy,Hellboy,"fantasy, horror, action, adventure",Neil Marshall,2019,120,50000000,55065289,54.8,5.6,3423,5.3,102924,English,456740,tt2274648,
Guns Akimbo,guns akimbo,Guns Akimbo,"action, comedy",Jason Lei Howden,2020,98,15000000,835102,14.6,6.4,2288,6.3,72286,English,457335,tt6902676,
John Wick: Chapter 3 - Parabellum,john wick chapter 3  parabellum,John Wick: Chapter 3 - Parabellum,"action, thriller, crime",Chad Stahelski,2019,131,55000000,326709727,72.8,7.4,10585,7.4,441297,English,458156,tt6146586,
Missing Link,missing link,Missing Link,"family, animation, comedy, adventure",Chris Butler,2019,95,100000000,26565710,18.6,7.0,839,6.7,29427,English,458253,tt6348138,
Vivarium,vivarium,Vivarium,"science fiction, thriller, mystery, horror",Lorcan Finnegan,2019,97,4000000,488000,23.8,6.1,2121,5.9,78672,English,458305,tt8368406,
Monster Hunter,monster hunter,Monster Hunter,"action, fantasy, adventure",Paul W. S. Anderson,2020,103,60000000,42145959,32.2,6.6,3285,5.2,69919,English,458576,tt6475714,
Us,us,Us,"horror, thriller",Jordan Peele,2019,116,20000000,256067149,33.3,7.0,7318,6.8,356166,English,458723,tt6857112,
Charlie's Angels,charlies angels,Charlie's Angels,"action, adventure, comedy",Elizabeth Banks,2019,118,48000000,73279888,65.4,6.4,2954,5.0,81644,English,458897,tt5033998,
Mavka: The Forest Song,mavka the forest song,Мавка: Лісова пісня,"animation, adventure, family, fantasy","Oleg Malamuzh, Oleksandra Ruban",2023,99,5000000,17974964,69.2,7.3,725,6.6,6334,Ukrainian,459003,tt6685538,
No Safe Spaces,no safe spaces,No Safe Spaces,documentary,Justin Folk,2019,95,686599,1291514,3.3,6.5,26,7.1,2832,English,459116,tt8363914,
The Boss Baby: Family Business,the boss baby family business,The Boss Baby: Family Business,"animation, comedy, adventure, family",Tom McGrath,2021,107,82000000,146745280,107.8,7.4,2529,5.9,23699,English,459151,tt6932874,
Monica and Friends: Bonds,monica and friends bonds,Turma da Mônica: Laços,"family, adventure, comedy",Daniel Rezende,2019,97,1803570,1357142,7.6,7.6,280,7.1,2499,Portuguese,459670,tt8169552,
Resident Evil: Welcome to Raccoon City,resident evil welcome to raccoon city,Resident Evil: Welcome to Raccoon City,"horror, science fiction, action",Johannes Roberts,2021,107,25000000,41914915,59.4,6.0,2439,5.2,66864,English,460458,tt6920084,
Mortal Kombat,mortal kombat,Mortal Kombat,"action, fantasy, adventure",Simon McQuoid,2021,110,20000000,84426031,46.8,7.0,5815,6.0,194186,English,460465,tt0293429,
Code 8,code 8,Code 8,"science fiction, action, crime",Jeff Chan,2019,99,15000000,157209,39.3,6.3,1981,6.1,55017,English,461130,tt6259380,
Wonder Woman 1984,wonder woman 1984,Wonder Woman 1984,"action, adventure, fantasy",Patty Jenkins,2020,151,200000000,169601036,45.1,6.4,8405,5.4,297575,English,464052,tt7126948,
A Madea Family Funeral,a madea family funeral,A Madea Family Funeral,comedy,Tyler Perry,2019,104,20000000,74747725,24.6,5.9,479,4.7,5196,English,464504,tt7054636,
The Grudge,the grudge,The Grudge,"horror, mystery",Nicolas Pesce,2019,93,10000000,42800000,22.2,5.4,1189,4.4,30443,English,465086,tt3612126,
The Informer,the informer,The Informer,"drama, crime, thriller",Andrea Di Stefano,2019,109,60000000,2927708,15.5,6.5,834,6.6,43567,English,466081,tt1833116,
Once Upon a Time... in Hollywood,once upon a time in hollywood,Once Upon a Time... in Hollywood,"comedy, drama, thriller",Quentin Tarantino,2019,162,95000000,374300000,59.4,7.4,13424,7.6,880813,English,466272,tt7131622,
Killers of the Flower Moon,killers of the flower moon,Killers of the Flower Moon,"crime, history, drama",Martin Scorsese,2023,206,200000000,156922344,81.2,7.5,3298,7.6,266847,English,466420,tt5537002,
The Rhythm Section,the rhythm section,The Rhythm Section,"action, thriller",Reed Morano,2020,109,50000000,5989583,14.9,5.5,590,5.4,20111,English,466622,tt7134096,
The Zone of Interest,the zone of interest,The Zone of Interest,"drama, history",Jonathan Glazer,2023,105,15000000,48975567,100.6,7.1,1755,7.4,119305,English,467244,tt7160372,
In the Heights,in the heights,In the Heights,"drama, romance",Jon M. Chu,2021,143,55000000,43000000,16.0,7.2,709,7.3,53439,English,467909,tt1321510,
Tolkien,tolkien,Tolkien,"war, drama, romance",Dome Karukoski,2019,112,20000000,8654322,14.7,7.0,1395,6.8,48252,English,468224,tt3361792,
The Rising Hawk,the rising hawk,The Rising Hawk,"action, history, drama","Akhtem Seitablaiev, John Wynn",2019,110,2900000,1560697,23.3,5.8,128,5.8,4689,English,468816,tt7439064,
Corpus Christi,corpus christi,Boże Ciało,drama,Jan Komasa,2019,116,1300000,9943901,13.7,7.6,535,7.7,22598,Polish,471707,tt8649186,
The Goat Life,the goat life,ആടുജീവിതം,"drama, adventure",Blessy,2024,120,9800000,19000000,24.8,7.4,25,7.1,44974,Malayalam,472221,tt5525650,
Uncut Gems,uncut gems,Uncut Gems,"drama, thriller, crime","Benny Safdie, Josh Safdie",2019,136,19000000,50023780,23.4,7.2,4719,7.4,328097,English,473033,tt5727208,22093
It Chapter Two,it chapter two,It Chapter Two,"horror, drama, fantasy",Andy Muschietti,2019,169,79000000,473123154,80.4,6.8,8719,6.5,316071,English,474350,tt7349950,21573
A Rainy Day in New York,a rainy day in new york,A Rainy Day in New York,"comedy, romance",Woody Allen,2019,92,25000000,23800000,1.9,6.5,2228,6.5,54185,English,475303,tt7139936,73193
Joker,joker,Joker,"crime, thriller, drama",Todd Phillips,2019,122,55000000,1078958629,201.2,8.1,25781,8.4,1565944,English,475557,tt7286456,20457
