title,clean_title,original_title,genres,director,release_year,runtime,budget,revenue,popularity,tmdb_rating,tmdb_votes,imdb_rating,imdb_votes,language,tmdb_id,imdb_id,topics,doesthedog_id
The Gentlemen,the gentlemen,The Gentlemen,"action, crime, comedy",Guy Ritchie,2020,113,22000000,115171795,49.3,7.7,5819,7.8,420959,English,522627,tt8367814,"158,181,182,184,187,188,190,193,197,199,201,203,208,211,212,217,225,229,230,232,242,243,245,246,247,251,258,269,274,275,290,292,298,299,307,311,318,326,328,342,360",44020
Escape Room,escape room,Escape Room,"horror, thriller, mystery",Adam Robitel,2019,100,9000000,155712077,22.5,6.5,4650,6.4,147624,English,522681,tt5886046,"167,168,180,181,184,188,190,191,192,193,198,201,202,203,211,216,222,225,230,232,235,242,244,245,255,260,265,269,281,282,289,295,298,299,308,309,311,313,318,328,334,339,348,352,356,362,366,370",14249
The Art of Racing in the Rain,the art of racing in the rain,The Art of Racing in the Rain,"drama, romance",Simon Curtis,2019,109,18000000,33800000,24.3,8.2,1450,7.6,40354,English,522924,tt1478839,"153,168,180,184,190,192,201,204,208,228,229,235,252,253,261,266,285,350,355",20021
Hitman's Wife's Bodyguard,hitmans wifes bodyguard,Hitman's Wife's Bodyguard,"action, comedy, crime, thriller",Patrick Hughes,2021,100,70000000,70060492,42.1,6.7,2270,6.1,111943,English,522931,tt8385148,"167,168,184,188,193,197,198,200,202,203,208,216,232,243,245,255",35764
Rambo: Last Blood,rambo last blood,Rambo: Last Blood,"action, thriller, drama",Adrian Grünberg,2019,89,50000000,91500000,73.1,6.5,3857,6.1,112887,English,522938,tt1206885,"158,164,167,177,182,188,190,193,197,200,203,216,218,223,232,240,242,243,255,258,274,276,299",21198
Late Night,late night,Late Night,"comedy, drama",Nisha Ganatra,2019,102,4000000,22384741,8.3,6.4,780,6.5,41500,English,523172,tt6107548,288,20535
Dragon Rider,dragon rider,Dragon Rider,"animation, family, adventure, fantasy",Tomer Eshed,2020,100,17800000,7000000,10.6,7.1,155,5.7,2202,English,523366,tt7080422,,41838
Maestro,maestro,Maestro,"drama, romance, music",Bradley Cooper,2023,129,80000000,300000,20.2,6.4,703,6.5,65211,English,523607,tt5535276,"153,168,186,188,189,197,212,218,219,225,229,242,247,252,277,279,285",963658
Words on Bathroom Walls,words on bathroom walls,Words on Bathroom Walls,"drama, romance",Thor Freudenthal,2020,111,8000000,3151849,20.0,7.8,595,7.2,14372,English,523781,tt8045906,"167,181,192,193,199,212,220,235,244,245,263,274,275,293",207226
Greenland,greenland,Greenland,"action, thriller, drama",Ric Roman Waugh,2020,120,34000000,52300000,107.3,7.1,4491,6.4,141256,English,524047,tt7737786,"161,164,167,168,171,181,183,184,188,190,192,198,202,208,216,219,221,223,232,235,241,243,244,245,261,269",110025
The Intruder,the intruder,The Intruder,thriller,Deon Taylor,2019,102,8000000,40600000,17.1,6.0,570,5.6,20041,English,524247,tt6722030,"161,171,180,181,182,188,200,210,219,222,223,242,250,252,255,257,263,267,269,271,282",21161
The Report,the report,The Report,drama,Scott Z. Burns,2019,119,8000000,275000,15.9,7.0,1011,7.2,52950,English,524348,tt8236336,"165,168,181,188,191,192,203,213,216,223,237,240,245,255,257",22189
The Many Saints of Newark,the many saints of newark,The Many Saints of Newark,"crime, drama",Alan Taylor,2021,120,50000000,13037403,23.4,6.3,657,6.3,65295,English,524369,tt8110232,"168,184,188,191,193,197,203,210,212,219,222,223,232,241,243,251,261",139967
Eternals,eternals,Eternals,"science fiction, action, adventure",Chloé Zhao,2021,156,200000000,402064899,63.0,6.9,8253,6.3,398320,English,524434,tt9032400,"161,164,167,168,180,184,187,188,189,195,197,198,211,221,222,224,232,237,243,252,263,265,269,274,286,288,289,291,309,311",40423
Crown Vic,crown vic,Crown Vic,"crime, drama, action",Joel Souza,2019,110,3600000,3868,8.5,6.2,188,6.5,8719,English,524659,tt4558200,,30653
Dynasty Warriors,dynasty warriors,真・三國無双,"action, adventure, fantasy",Roy Chow Hin-Yeung,2021,118,38504400,3310000,18.0,6.0,131,4.7,2627,Cantonese,525660,tt7587604,,
Bombshell,bombshell,Bombshell,drama,Jay Roach,2019,109,32000000,61404394,22.8,6.8,2948,6.8,129813,English,525661,tt6394270,"161,182,197,201,212,233,235,237,241,247,326",22056
Like a Boss,like a boss,Like a Boss,comedy,Miguel Arteta,2020,83,29000000,26900000,11.5,6.3,630,4.7,15605,English,526019,tt7545266,,22420
Little,little,Little,"comedy, fantasy, romance",Tina Gordon,2019,108,20000000,17399000,23.3,6.9,705,5.5,14970,English,526050,tt8085790,"180,192,197,212,216,226,233",18397
Morbius,morbius,Morbius,"action, science fiction, fantasy",Daniel Espinosa,2022,105,75000000,167635712,43.5,6.0,4304,5.1,159714,English,526896,tt5108870,"161,167,168,171,177,181,188,189,190,192,193,199,200,201,206,216,222,229,230,232,235,242,243,244,245,252,254,255,260,263,265,268,274,288,296",151631
Five Feet Apart,five feet apart,Five Feet Apart,"romance, drama",Justin Baldoni,2019,116,7000000,92600000,56.6,8.3,5583,7.2,87753,English,527641,tt6472976,"158,180,181,188,190,191,192,193,194,195,197,201,211,222,235,245,260,261,266,288,298,311,313,328,335,348",18266
Raya and the Last Dragon,raya and the last dragon,Raya and the Last Dragon,"animation, family, fantasy, action, adventure","Carlos López Estrada, Don Hall",2021,107,100000000,130423032,83.7,7.8,6756,7.3,177157,English,527774,tt5109280,"180,196,201,202,213,261,274,289,313,324,329,335,355,356",85932
Overcomer,overcomer,Overcomer,drama,Alex Kendrick,2019,119,5000000,38026103,30.4,7.7,266,6.7,5943,English,527776,tt8186318,"168,181,190,192,234,237,311,313,335,351",20268
Major Grom: Plague Doctor,major grom plague doctor,Майор Гром: Чумной Доктор,"action, adventure",Oleg Trofim,2021,136,10000000,4500000,39.1,6.7,581,6.3,14145,Russian,529106,tt7601480,,99601
The Croods: A New Age,the croods a new age,The Croods: A New Age,"animation, family, adventure, fantasy, comedy",Joel Crawford,2020,95,65000000,215905815,65.6,7.5,3813,6.9,55536,English,529203,tt2850386,,
The Japon,the japon,Los Japón,comedy,Álvaro Díaz Lorenzo,2019,96,8250378,3262957,4.6,4.4,61,3.6,998,Spanish,529209,tt7858496,,184848
The Way Back,the way back,The Way Back,drama,Gavin O'Connor,2020,107,23000000,14590514,12.0,6.7,1166,6.7,54073,English,529485,tt8544498,"158,171,177,180,188,189,210,213,214,252,270,297,311,318,328,335",27299
Midsommar,midsommar,Midsommar,"horror, drama, mystery",Ari Aster,2019,147,9000000,48015416,61.7,7.2,7098,7.1,431168,English,530385,tt8772262,"161,164,167,168,171,177,181,182,187,188,189,193,197,199,200,201,202,203,210,211,216,219,222,223,227,229,235,236,237,241,242,243,244,245,250,252,255,261,263,265,266,267,269,274,276,277,279,281,282,286,287,288,289,290,292,296,298,299,304,305,311,313,317,318,326,328,334,335,336,339,341,348,351,352,355,358,360,363,366,367,370",20449
1917,1917,1917,"war, history, thriller, drama",Sam Mendes,2019,119,100000000,394638258,36.0,8.0,12378,8.2,706007,English,530915,tt8579674,"153,161,164,171,180,181,183,188,189,191,192,198,201,202,213,216,222,225,229,232,235,240,245,250,252,255,261,266,271,274,281,289,290,298,309,311,313,328,335,339,343,348,351,352,356,360,363,366",22265
Brightburn,brightburn,Brightburn,"horror, science fiction, thriller, mystery",David Yarovesky,2019,91,6000000,33224654,35.2,6.1,3126,6.1,111252,English,531309,tt7752126,"161,167,168,171,184,188,189,192,197,198,200,203,210,211,216,222,223,224,225,229,232,242,245,252,255,260,267,269,274,290,311,313,318,328,339,366",18983
Portrait of a Lady on Fire,portrait of a lady on fire,Portrait de la jeune fille en feu,"drama, romance, history",Céline Sciamma,2019,121,5740000,9923127,30.9,8.1,2549,8.1,114935,French,531428,tt8613070,"181,187,193,197,211,215,222,238,245,266,279,313,317,330,335,358,363",23959
The Tax Collector,the tax collector,The Tax Collector,"action, crime, drama",David Ayer,2020,95,30000000,942666,23.7,5.6,470,4.8,15833,English,531499,tt8461224,"168,181,188,200,203,223,225,227,232,237,242,243,245,251",44156
The Outpost,the outpost,The Outpost,"war, drama, history, action",Rod Lurie,2020,123,18000000,2133452,21.7,6.9,1032,6.8,43419,English,531876,tt3833480,"153,180,189,193,199,211,212,230,232,235,245,252",108915
Block Z,block z,Block Z,"action, horror, thriller",Mikhail Red,2020,101,646955,709452,3.9,7.2,10,5.3,423,Tagalog,531900,tt10044182,"177,188,210,216,255",77063
The Boogeyman,the boogeyman,The Boogeyman,"horror, thriller, mystery",Rob Savage,2023,99,41900000,66978229,22.3,6.4,876,5.9,47870,English,532408,tt3427252,"158,161,164,167,168,180,187,188,192,193,201,202,207,210,216,227,232,235,237,242,245,253,255,257,261,265,266,271,274,281,286,290,298,305,311,313,318,329,334,336,339,342,363,366",723444
The Prodigy,the prodigy,The Prodigy,"horror, thriller",Nicholas McCarthy,2019,92,6000000,21200000,17.2,6.2,969,5.9,29534,English,532671,tt4504044,"153,161,165,168,177,188,189,201,213,224,245,252,266,271,285",17469
Firestarter,firestarter,Firestarter,"horror, science fiction, thriller",Keith Thomas,2022,94,12000000,15000000,17.3,5.6,688,4.6,23993,English,532710,tt1798632,"164,168,188,190,192,193,200,203,214,218,220,222,232,237,242,243,245,253,269,270,274,290,298,299,311,313,318,328,335,360,366",19448
The Shiny Shrimps,the shiny shrimps,Les Crevettes pailletées,comedy,"Cédric Le Gallo, Maxime Govare",2019,103,3500000,4645750,12.4,6.6,428,6.5,3111,French,532938,tt6918220,"188,191,193,194,197,204,222,244,245,247,279",27705
Waves,waves,Waves,"romance, drama",Trey Edward Shults,2019,135,6000000,2576990,28.1,7.4,682,7.5,33052,English,533444,tt8652728,"158,167,168,176,180,181,188,192,193,197,201,204,212,219,223,225,230,237,238,239,242,251,290,311,315,326,330,335,342,345,347,348,366",21753
Deadpool & Wolverine,deadpool  wolverine,Deadpool & Wolverine,"action, comedy, science fiction",Shawn Levy,2024,128,200000000,1338071348,893.8,7.7,5839,7.7,410865,English,533535,tt6263850,"164,167,171,177,180,181,182,184,188,190,191,192,193,195,197,198,199,201,202,203,204,205,208,210,211,212,216,218,220,223,225,232,233,237,240,242,243,244,245,250,255,258,265,267,268,269,274,276,279,281,282,288,290,293,296,298,299,304,306,308,309,311,312,315,318,321,324,326,327,328,330,331,336,339,341,343,346,352,353,356,360,361,362,363,364,366,370",9320
Child's Play,childs play,Child's Play,"horror, thriller",Lars Klevberg,2019,90,10000000,44902237,19.5,6.0,1882,5.7,57916,English,533642,tt8663516,"168,171,177,184,186,187,188,189,201,218,223,229,237,241,242,252,253,258,267,285,330",19638
Blinded by the Light,blinded by the light,Blinded by the Light,"drama, comedy",Gurinder Chadha,2019,118,8300000,18144644,10.2,6.9,568,6.9,27749,English,534259,tt8266310,"188,212",20447
21 Bridges,21 bridges,21 Bridges,"crime, action, drama",Brian Kirk,2019,99,33000000,49900000,17.7,6.8,1947,6.6,76815,English,535292,tt8688634,"201,252",21699
Downton Abbey,downton abbey,Downton Abbey,"drama, romance, history",Michael Engler,2019,122,20000000,194694725,16.3,7.1,1120,7.4,65461,English,535544,tt6398184,"153,168,171,177,182,184,187,188,189,190,192,193,197,199,201,205,206,208,212,215,218,219,225,228,230,232,233,235,239,241,243,244,245,246,247,250,252,259,260,261,265,266,269,270,274,277,285,286,288,292,297,298,299,305,311,313,317,318,319,321,326,327,328,330,335,336,342,345,348,351,352,353,360,363,366,368",12800
The Dead Don't Die,the dead dont die,The Dead Don't Die,"comedy, horror",Jim Jarmusch,2019,104,11000000,15800000,18.6,5.4,2496,5.5,88844,English,535581,tt8695030,"158,168,180,187,188,189,201,208,213,222,232,250,252,254,255,268",19278
Brian Banks,brian banks,Brian Banks,drama,Tom Shadyac,2019,99,10000000,4300000,16.7,7.2,232,7.2,9971,English,535845,tt3920820,,20170
Hypnotic,hypnotic,Hypnotic,"mystery, thriller, science fiction",Robert Rodriguez,2023,93,70000000,16014123,33.7,6.2,1206,5.5,40116,English,536437,tt8080204,"165,167,182,184,188,190,192,201,202,203,206,208,213,215,232,235,237,242,245,264,269,274,276",498713
M3GAN,m3gan,M3GAN,"science fiction, horror",Gerard Johnstone,2022,102,12000000,181796517,50.4,7.1,4022,6.3,155827,English,536554,tt8760708,"153,158,161,167,168,171,180,184,188,189,192,203,208,211,213,227,229,237,245,250,252,253,265,269,274,281,285,290,295,296,305,309,311,313,318,321,324,328,339,342,343,348,352,354,355,360,363,366",974041
Queen & Slim,queen  slim,Queen & Slim,"crime, drama, romance",Melina Matsoukas,2019,131,20000000,47803176,10.0,7.1,689,7.1,35284,English,536743,tt8722346,,246211
Cats,cats,Cats,"fantasy, comedy, drama",Tom Hooper,2019,110,95000000,77276321,12.3,4.1,960,2.8,56924,English,536869,tt5697572,"186,189,193,201,213,229,233,242,243,255,260,274,300,350",21995
After,after,After,"romance, drama",Jenny Gage,2019,106,14000000,69500000,74.7,7.1,8167,5.3,69156,English,537915,tt4126476,"177,182,197,222,225,230,241,293,304,317",8596
We Die Young,we die young,We Die Young,"drama, action, crime, thriller",Lior Geller,2019,93,4000000,143837,23.6,6.8,326,5.2,5223,English,538207,tt7903530,"153,167,180,181,184,188,189,193,203,213,218,252",17809
Relic,relic,Relic,"horror, mystery",Natalie Erika James,2020,89,1229578,3238539,14.8,6.1,723,6.0,31438,English,539181,tt9072352,"161,176,177,181,188,199,202,212,213,216,222,244,245,255,257,260,263,272,279,291,296,312,334,336,339,343,352,366",52520
Fantasy Island,fantasy island,Fantasy Island,"adventure, fantasy, horror, mystery",Jeff Wadlow,2020,109,7000000,49500000,23.5,5.8,2432,4.9,60514,English,539537,tt0983946,"161,164,168,177,188,190,191,193,198,200,202,203,204,205,211,214,232,241,242,243,245,274,276,289,290,298,304,308,309,311,313,318,328,334,335,343",22772
Zola,zola,Zola,"comedy, crime",Janicza Bravo,2021,86,5000000,3500000,13.3,6.2,222,6.4,18792,English,539565,tt5439812,"167,180,181,182,188,197,199,201,202,219,232,234,235,237,241,242,243,244,245,247,251,255,259,268,276,279,286,290",500777
Don't Let Go,dont let go,Don't Let Go,"science fiction, thriller, mystery, horror",Jacob Aaron Estes,2019,107,5000000,5300000,15.8,6.8,381,6.4,13714,English,539651,tt6803212,,20427
DC League of Super-Pets,dc league of superpets,DC League of Super-Pets,"animation, action, family, comedy, science fiction",Jared Stern,2022,105,90000000,203000000,28.1,7.2,1532,7.1,77535,English,539681,tt8912936,"167,184,192,216,220,223,229,231,235,243,245,261,274,289",921160
Freaks,freaks,Freaks,science fiction,"Adam B. Stein, Zach Lipovsky",2019,105,2000,368410,19.2,6.7,1127,6.7,42285,English,539892,tt8781414,"164,174,180,184,193,195,203,212,219,225,226,228,237,241,242,244,245,250,266,296,298",17283
Monica,monica,Monica,drama,Andrea Pallaoro,2023,113,1700000,182000,4.3,5.8,25,6.3,1540,English,540549,tt6337816,,1111302
Hustlers,hustlers,Hustlers,"drama, comedy, crime",Lorene Scafaria,2019,110,20000000,157600000,33.7,6.5,2905,6.3,109456,English,540901,tt5503686,"167,168,182,188,192,193,197,201,219,225,230,235,237,241,261,266,276,279,299,313,366",20645
Maharshi,maharshi,మహర్షి,"drama, action",Vamsi Paidipally,2019,176,12000000,31562422,7.9,6.9,29,7.2,10268,Telugu,541487,tt8333978,,1059448
This Changes Everything,this changes everything,This Changes Everything,documentary,Tom Donahue,2019,97,64988,125348,8.6,6.2,39,7.7,1904,English,541577,tt5795282,,84603
The French Dispatch,the french dispatch,The French Dispatch,"drama, comedy",Wes Anderson,2021,108,25000000,46333545,18.5,7.0,2571,7.1,155367,English,542178,tt8847712,"158,161,167,168,176,180,184,187,188,191,192,193,197,199,202,203,205,208,211,216,220,222,225,230,232,243,244,245,252,255,256,259,260,263,265,269,273,274,276,277,279,286,319",40791
Gretel & Hansel,gretel  hansel,Gretel & Hansel,"fantasy, horror, mystery",Osgood Perkins,2020,87,5000000,22304357,27.7,6.0,1396,5.5,36048,English,542224,tt9086228,,487454
While at War,while at war,Mientras dure la guerra,"drama, history, war",Alejandro Amenábar,2019,108,4735684,12277353,10.4,7.2,274,6.9,7100,Spanish,542921,tt7818580,,65483
The Boat,the boat,The Boat,"thriller, mystery, horror",Winston Azzopardi,2019,89,5000000,98559,14.2,5.4,128,5.7,5121,English,543915,tt7468616,"188,202,245",48167
Everything Everywhere All at Once,everything everywhere all at once,Everything Everywhere All at Once,"action, adventure, science fiction","Daniel Kwan, Daniel Scheinert",2022,140,25000000,139200000,70.0,7.8,6576,7.8,560463,English,545611,tt6710474,"153,161,167,168,171,177,180,181,184,188,189,192,193,195,197,199,200,201,212,213,216,218,224,226,228,229,232,233,242,245,246,252,255,257,259,260,262,265,266,268,269,271,274,286,290,293,296,298,304,309,311,313,318,328,330,334,335,336,339,341,342,343,345,347,352,360,362,363,364,366,368,370",121671
Run,run,Run,"thriller, horror, drama",Aneesh Chaganty,2020,90,1700000,5184368,29.0,7.3,2549,6.7,101141,English,546121,tt8633478,"158,161,176,180,181,188,190,192,193,199,201,202,203,212,218,219,228,232,235,237,243,244,245,259,261,263,265,266,269,271,274,275,284,286,288,298,299,304,311,330,336,343,345,360,366",679383
Knives Out,knives out,Knives Out,"comedy, crime, mystery",Rian Johnson,2019,131,40000000,312897920,61.7,7.8,12365,7.9,798009,English,546554,tt8946378,"165,168,177,181,184,187,188,190,192,193,199,201,206,212,213,230,235,237,241,243,245,246,260,265,269,274,275,281,286,288,289,290,298,299,311,313,318,328,339,360,361,366",21125
Color Out of Space,color out of space,Color Out of Space,"horror, science fiction, mystery",Richard Stanley,2019,110,6000000,1023510,19.4,6.0,1450,6.2,59648,English,548473,tt5073642,"153,158,161,164,167,168,171,176,177,180,183,186,188,189,192,193,197,199,201,204,213,218,222,224,225,229,232,235,245,250,252,254,255,260,267,269,285,288,290,296,297,304,305,311,313,327,328,330,334,335,339,348,350,351,352,355,366",21003
Last Christmas,last christmas,Last Christmas,"comedy, romance",Paul Feig,2019,102,30000000,121600000,139.8,7.2,2358,6.5,93196,English,549053,tt8623904,"174,176,177,184,189,192,197,207,208,212,216,222,225,230,235,241,252,265,269,270,276,285,288,298,311,328,334,336,341,353,368",21356
The Secret: Dare to Dream,the secret dare to dream,The Secret: Dare to Dream,"drama, romance",Andy Tennant,2020,107,21000000,3215636,13.0,7.3,601,6.5,18557,English,550231,tt4411584,"188,252",86203
Free Guy,free guy,Free Guy,"comedy, adventure, science fiction",Shawn Levy,2021,115,110000000,331526598,62.7,7.5,8750,7.1,448389,English,550988,tt6264654,"164,184,188,202,208,211,216,232,235,237,242,245,268,269,289,290,339",64461
Medieval,medieval,Medieval,"action, drama, history",Petr Jákl,2022,126,23000000,4311284,32.9,7.0,464,5.9,13272,English,551271,tt8883486,"158,183,213,227,252,255,267,274",507243
Freaky,freaky,Freaky,"comedy, horror",Christopher Landon,2020,102,5000000,15100000,25.0,6.6,1614,6.3,76072,English,551804,tt10919380,"158,161,168,176,177,182,184,188,193,197,200,203,212,216,223,224,225,230,232,242,243,245,247,250,252,257,258,262,267,269,270,274,276,287,290,294,295,298,309,311,313,315,318,326,343,345,361,367",797271
Black Christmas,black christmas,Black Christmas,"horror, mystery, thriller",Sophia Takal,2019,92,5000000,18529730,12.4,4.6,538,3.5,19727,English,551808,tt10481868,"158,161,181,182,188,194,197,212,218,222,225,230,235,236,237,242,245,261,263,265,266,276,281,290,298,304,309,311,313,318,320,326,328,330,336,339,343,360,361,363,366,367",21713
Dark Waters,dark waters,Dark Waters,"drama, thriller",Todd Haynes,2019,127,20000000,13601384,28.1,7.5,2179,7.6,111824,English,552178,tt9071322,"168,174,180,188,189,192,204,206,210,215,233,235,242,252,261,266,278,288,298,327,335,351,355",21793
Joe Bell,joe bell,Joe Bell,drama,Reinaldo Marcus Green,2020,93,3500000,1700000,13.1,6.5,228,6.2,9961,English,552269,tt4651466,,507811
The Head Hunter,the head hunter,The Head Hunter,"horror, fantasy",Jordan Downey,2019,72,30000,44652,7.8,5.3,286,5.4,7311,English,553141,tt6469548,"158,167,183,188,189,200,202,213,222,223,242,245,255",23146
The Lost Daughter,the lost daughter,The Lost Daughter,drama,Maggie Gyllenhaal,2021,121,5000000,703281,19.6,6.5,950,6.7,77251,English,554230,tt9100054,"181,184,188,197,213,241,253,261",508933
Playing with Fire,playing with fire,Playing with Fire,"family, comedy",Andy Fickman,2019,96,29900000,69412425,32.7,6.6,684,5.1,16937,English,554241,tt9134216,"168,180,189,252,257,270",22166
The Mongolian Conspiracy,the mongolian conspiracy,El Complot Mongol,"crime, thriller",Sebastián del Amo,2019,100,1100000,976,3.0,6.3,26,5.5,579,Spanish,554577,tt4707274,,187636
No Manches Frida 2: Paradise Lost,no manches frida 2 paradise lost,No Manches Frida 2,comedy,Nacho G. Velilla,2019,102,5000000,26500000,54.3,8.0,869,4.3,1255,Spanish,554596,tt9019352,,
"Are You There God? It's Me, Margaret.",are you there god its me margaret,"Are You There God? It's Me, Margaret.","comedy, drama",Kelly Fremon Craig,2023,107,30000000,21800000,34.8,7.3,354,7.3,31358,English,555285,tt9185206,"177,197,246,257,276,293,297,351,352,358",509542
Brahms: The Boy II,brahms the boy ii,Brahms: The Boy II,"horror, mystery, thriller",William Brent Bell,2020,86,10000000,20311536,17.8,5.9,1228,4.7,21345,English,555974,tt9173418,"153,161,187,188,189,191,192,207,213,222,224,232,235,237,242,244,245,252,253,263,265,274,285",22851
Emma.,emma,Emma.,"comedy, romance",Autumn de Wilde,2020,125,10000000,25200000,25.9,7.0,1726,6.7,65461,English,556678,tt9214832,"188,189,201,212,225,252,260,261,266",22819
Three Thousand Years of Longing,three thousand years of longing,Three Thousand Years of Longing,"drama, fantasy, romance",George Miller,2022,108,60000000,20300000,36.6,6.9,1337,6.7,66376,English,556694,tt9198364,"165,182,183,188,191,197,211,213,215,218,225,230,233,239,241,245,252,260,266,274,277,279,281,287,292,296,298,309,311,313,335",68778
The Trial of the Chicago 7,the trial of the chicago 7,The Trial of the Chicago 7,"drama, history",Aaron Sorkin,2020,130,35000000,107423,24.8,7.7,3008,7.7,197431,English,556984,tt1070874,,71264
Gladiator II,gladiator ii,Gladiator II,"action, adventure, history",Ridley Scott,2024,148,310000000,368092895,1398.7,6.7,996,6.9,97430,English,558449,tt9218128,"164,167,168,177,180,181,187,188,189,190,191,193,194,202,203,211,212,216,218,219,229,243,245,250,252,255,263,267,274,277,288,289,290,293,294,298,304,305,308,309,311,313,318,320,322,328,331,335,336,337,339,343,345,348,352,355,356,361,362,366,367",1111420
The Color Purple,the color purple,The Color Purple,drama,Blitz Bazawule,2023,141,95000000,67519192,30.4,7.1,268,6.8,18219,English,558915,tt1200263,"165,168,176,177,180,182,184,188,197,200,208,212,213,218,219,225,228,230,233,234,236,237,241,242,243,244,251,252,261,266,269,274,276,277,284,287,292,293,294,297,301,311,313,318,320,321,326,330,338,342,345,347,363,366,367,370",23386
The Green Knight,the green knight,The Green Knight,"adventure, drama, fantasy",David Lowery,2021,130,15000000,18887953,41.6,6.6,1891,6.6,123111,English,559907,tt9243804,"177,182,188,189,197,201,207,210,213,225,228,241,250,252,266,274,279,284,289,293,298,311,313,318,326,328,331,334,335,352,355,356,360,361,366",38746
Shanghai Fortress,shanghai fortress,上海堡垒,"science fiction, war",Teng Huatao,2019,107,30000000,16900000,21.2,5.4,141,4.4,2813,Chinese,559957,tt6628322,,126755
Shock Wave 2,shock wave 2,拆彈專家2,"action, crime, adventure, thriller",Herman Yau,2020,120,40000000,226400000,15.9,7.1,151,6.6,3007,Cantonese,559974,tt9597838,,1034064
Monkey Man,monkey man,Monkey Man,"action, thriller",Dev Patel,2024,121,10000000,35271631,104.5,6.9,938,6.8,80559,English,560016,tt9214772,"164,167,168,171,177,180,181,182,184,188,189,193,197,203,210,216,222,225,232,235,242,245,250,255,258,265,267,269,270,274,276,279,281,290,298,309,311,313,318,321,328,335,336,339,342,343,348,351,352,356,361,365,366,367",1071391
Skylines,skylines,Skylines,"science fiction, action, thriller",Liam O'Donnell,2020,113,70000000,170581,21.3,5.6,545,4.8,9563,English,560144,tt9387250,,739280
The Ash Lad: In Search of the Golden Castle,the ash lad in search of the golden castle,Askeladden - I Soria Moria slott,"fantasy, adventure",Mikkel Brænne Sandemose,2019,99,7300000,2996763,15.3,6.5,106,6.3,1688,Norwegian,561557,tt8753438,,183520
Candyman,candyman,Candyman,"horror, mystery, thriller",Nia DaCosta,2021,91,25000000,77411570,73.8,6.0,1549,5.9,78321,English,565028,tt9347730,"153,158,161,164,167,176,177,182,188,190,192,197,202,203,207,212,213,220,222,235,237,241,242,243,244,248,250,252,255,258,260,261,263,266,269,270,272,274,277,279,284,285,289,296,297,298,299,305,311,321,328,331,334,335,339,342,343,345,348,352,360,366,370",9062
The First King,the first king,Il primo re,"history, drama",Matteo Rovere,2019,123,8000000,2440478,9.4,7.1,1093,6.5,6067,Latin,565179,tt7278824,,24298
The Farewell,the farewell,The Farewell,"comedy, drama",Lulu Wang,2019,100,250300,23076657,16.7,7.4,1391,7.5,72824,English,565310,tt8637428,,19970
Roe v. Wade,roe v wade,Roe v. Wade,"drama, history","Cathy Allyn, Nick Loeb",2021,112,6750000,23561,4.1,5.7,36,3.7,1665,English,565470,tt8639326,,143838
Blue Beetle,blue beetle,Blue Beetle,"action, science fiction, adventure",Ángel Manuel Soto,2023,128,104000000,130788072,125.9,6.7,2610,5.9,104328,English,565770,tt9362930,"164,167,168,180,181,184,187,188,190,203,208,212,213,218,232,243,245,269,270,274,278,279,289,290,293,296,298,304,309,311,313,324,328,335,343,346,366",515617
Shang-Chi and the Legend of the Ten Rings,shangchi and the legend of the ten rings,Shang-Chi and the Legend of the Ten Rings,"action, adventure, fantasy",Destin Daniel Cretton,2021,132,150000000,432243292,156.8,7.5,9411,7.4,451251,English,566525,tt9376612,"167,168,177,181,184,188,189,191,199,203,208,211,218,219,232,237,242,243,250,266,269,274,289,305,313,328,330,346,356",95317
Impractical Jokers: The Movie,impractical jokers the movie,Impractical Jokers: The Movie,comedy,Chris Henchy,2020,92,3000000,10700000,12.6,6.6,145,5.7,7448,English,566927,tt9208444,,27746
Kölcsönlakás,kölcsönlakás,Kölcsönlakás,"romance, comedy","Kata Dobó, Buda Gulyás",2019,95,1645266,757123,1.4,5.8,10,3.9,1145,Hungarian,567224,tt9015746,,114857
Greed,greed,Greed,"comedy, drama",Michael Winterbottom,2019,100,5500000,1500000,11.1,5.7,148,5.8,8637,English,567598,tt8972256,"171,182,183,210,214,219,222,225,229,237,252,311,328,342,352",236839
Ready or Not,ready or not,Ready or Not,"horror, comedy","Matt Bettinelli-Olpin, Tyler Gillett",2019,95,6000000,57600000,99.7,7.0,4531,6.9,203363,English,567609,tt7798634,"158,161,168,171,177,180,184,188,189,190,193,200,201,202,203,207,213,216,218,223,225,230,232,235,242,243,245,252,255,267,269,274,276,282,289,290,296,298,299,309,311,313,318,328,330,331,339,343,351,352,360,361,366,367,369",20340
Extreme Job,extreme job,극한직업,"action, comedy, crime",Lee Byeong-heon,2019,111,8120000,124652206,24.4,7.1,274,7.1,13701,Korean,567646,tt9541602,,30132
Dear Evan Hansen,dear evan hansen,Dear Evan Hansen,drama,Stephen Chbosky,2021,137,27500000,19133454,13.5,6.3,324,6.1,19527,English,567690,tt9357050,"158,187,193,194,199,201,207,216,222,230,235,237,244,245,263,269,275,286,290,293,311,313,318,321,328,336,348",17660
Furie,furie,Hai Phượng,"action, drama, thriller",Le Van Kiet,2019,98,1000000,6890000,10.9,6.6,183,6.3,5817,Vietnamese,567973,tt9412268,"177,188,190,192,208,232,243,274,308",50718
Encanto,encanto,Encanto,"animation, comedy, family, fantasy","Jared Bush, Byron Howard",2021,102,135000000,261289554,246.4,7.6,9470,7.2,274063,English,568124,tt2953050,,1353293
